type,datetime,throughput,exectime
write,"Thu, 11 Feb 2016 17:53:27 GMT",2.8281456108476353,471.852
read,"Thu, 11 Feb 2016 17:56:41 GMT",8.908889345469468,171.42
write,"Thu, 11 Feb 2016 18:05:58 GMT",2.3195210846157908,550.213
read,"Thu, 11 Feb 2016 18:10:54 GMT",5.162886376164675,291.379
write,"Thu, 11 Feb 2016 18:19:19 GMT",2.8274259373447124,498.815
read,"Thu, 11 Feb 2016 18:24:26 GMT",4.77778092978603,297.186
write,"Thu, 11 Feb 2016 18:35:12 GMT",2.034764459481354,637.839
read,"Thu, 11 Feb 2016 18:38:53 GMT",7.63661425615877,205.83
write,"Thu, 11 Feb 2016 18:47:29 GMT",2.6857190081035416,510.137
read,"Thu, 11 Feb 2016 18:50:15 GMT",9.352092852253884,159.761
write,"Thu, 11 Feb 2016 18:58:28 GMT",2.7188586322090607,487.408
read,"Thu, 11 Feb 2016 19:01:54 GMT",7.737964160974158,200.591
write,"Thu, 11 Feb 2016 19:09:25 GMT",2.9605137774293144,445.51
read,"Thu, 11 Feb 2016 19:11:45 GMT",12.021569701436803,133.756
write,"Thu, 11 Feb 2016 19:19:43 GMT",2.73155583786691,471.29
read,"Thu, 11 Feb 2016 19:22:51 GMT",8.96732139944765,180.764
write,"Thu, 11 Feb 2016 19:30:38 GMT",2.7859369616757226,460.836
read,"Thu, 11 Feb 2016 19:34:10 GMT",8.620914158145283,192.073
write,"Thu, 11 Feb 2016 19:41:31 GMT",2.898587132012286,433.235
read,"Thu, 11 Feb 2016 19:44:32 GMT",8.14489773062787,172.399
write,"Thu, 11 Feb 2016 19:53:27 GMT",2.591187673029256,526.979
read,"Thu, 11 Feb 2016 19:56:28 GMT",9.528377095051914,175.052
write,"Thu, 11 Feb 2016 20:05:06 GMT",2.6889575270195416,511.806
read,"Thu, 11 Feb 2016 20:07:24 GMT",11.399851944422872,132.091
write,"Thu, 11 Feb 2016 20:15:56 GMT",2.6421670261298207,506.739
read,"Thu, 11 Feb 2016 20:19:04 GMT",8.08802194280353,183.871
